Reg No,Vehicle Name,Vehicle Type,Fuel Type
DL6CT3248,DL6CT3248,Honda City,Petrol
DL7GD1366,DL7GD1366,TATA NEXON EV XM,Electric
DL7GD1368,DL7GD1368,TATA NEXON EV XM,Electric
DL7GD1384,DL7GD1384,TATA NEXON EV XM,Electric
DL7GD1569,DL7GD1569,TATA NEXON EV XM,Electric
DL7GD1682,DL7GD1682,TATA NEXON EV XM,Electric
DL7GD1696,DL7GD1696,TATA NEXON EV XM,Electric
DL8CAR9335,DL8CAR9335,Ciaz,CNG
DL8CBH5517,DL8CBH5517,Ciaz,CNG
DL8CBJ5305,DL8CBJ5305,Dzire,CNG
DL8CBJ5364,DL8CBJ5364,Dzire,CNG
DL8CBJ5373,DL8CBJ5373,Dzire,CNG
DL8CBJ5377,DL8CBJ5377,Dzire,CNG
DL8CBJ5391,DL8CBJ5391,Dzire,CNG
DL8CBK2850,DL8CBK2850,Glanza,Petrol
DL8CBL0438,DL8CBL0438,Toyota Rumion,CNG
DL8CBL0442,DL8CBL0442,Ertiga,CNG
DL8GD8264,DL8GD8264,TATA NEXON EV XM,Electric
DL8GD8573,DL8GD8573,TATA NEXON EV XZ PLUS,Electric
DL9CBD9261,DL9CBD9261,Ciaz,Petrol
DL9CBE8271,DL9CBE8271,Maruti Ciaz,CNG
DL9CBF2174,DL9CBF2174,INVICTO,Petrol Hybrid
DL9CBF3173,DL9CBF3173,Ciaz,CNG
DL9CBF6014,DL9CBF6014,Ciaz,CNG
DL9CBF6094,DL9CBF6094,Ciaz,CNG
DL9CBF7239,DL9CBF7239,Ciaz,CNG
DL9CBF7255,DL9CBF7255,Ciaz,CNG
DL9CBG1648,DL9CBG1648,Ciaz,CNG
DL9CBG9935,DL9CBG9935,Ciaz,CNG
DL9CBG9969,DL9CBG9969,Ciaz,CNG
DL9CBH5909,DL9CBH5909,Ciaz,CNG
DL9CBK2014,DL9CBK2014,Ciaz,CNG
DL9CBK2059,DL9CBK2059,Ciaz,CNG
DL9CBK4237,DL9CBK4237,Ciaz,CNG
DL9CBK4272,DL9CBK4272,Ciaz,CNG
DLAZD2691,DLAZD2691,Dzire,CNG
HR29AY0502,HR29AY0502,Ciaz,CNG
HR29AY3380,HR29AY3380,Maruti Ciaz,CNG
HR29AY33801,HR29AY3380,Ciaz,CNG/Petrol
HR29AY4237,HR29AY4237,Ciaz,CNG
HR29AZ0738,HR29AZ0738,Dzire,CNG
HR29AZ1193,HR29AZ1193,Dzire,CNG
HR29AZ4838,HR29AZ4838,Dzire,CNG
HR29AZ4906,HR29AZ4906,Dzire,CNG
HR29AZ7015,HR29AZ7015,Ciaz,CNG
HR29AZ8011,HR29AZ8011,Dzire,CNG
HR29BA1224,HR29BA1224,Ciaz,CNG
HR29BA3806,HR29BA3806,Ciaz,CNG
HR29BA4017,HR29BA4017,Ciaz,CNG
HR29BA5305,HR29BA5305,Ciaz,CNG
HR29BA5522,HR29BA5522,,
HR29BA6597,HR29BA6597,Ciaz,CNG
HR29BA6777,HR29BA6777,Ciaz,CNG
HR29BA8016,HR29BA8016,Ciaz,CNG
HR29BA8205,HR29BA8205,Ciaz,CNG
HR29BA8883,HR29BA8883,Ciaz,CNG
HR29BA9796,HR29BA9796,Ciaz,CNG
HR29BA9896,HR29BA9896,Ciaz,CNG
HR38A9493,HR38A9493,,CNG
HR38AB8075,HR38AB8075,Dzire,CNG/Petrol
HR38AD1312,HR38AD1312,Dzire,CNG
HR38AE1943,HR38AE1943,Ciaz,CNG
HR38AE6518,HR38AE6518,XL6,CNG
HR38AF1475,HR38AF1475,Innova,Diesel
HR38AF7856,HR38AF7856,Hycross,Petrol
HR38AF7937,HR38AF7937,Hycross,Petrol
HR38AF9641,HR38AF9641,Innova,Diesel
HR38AG0002,HR38AG0002,TOYOTA RUMION,CNG
HR38AG0003,HR38AG0003,TOYOTA RUMION,CNG
HR38AG0004,HR38AG0004,TOYOTA RUMION,CNG
HR38AG0005,HR38AG0005,TOYOTA RUMION,CNG
HR38AG0006,HR38AG0006,TOYOTA RUMION,CNG
HR38AH3106,HR38AH3106,Honda City,Petrol
HR38AH5218,HR38AH5218,Honda City,Petrol
HR38AH6548,HR38AH6548,Honda City,Petrol
HR38AH7252,HR38AH7252,Honda City,Petrol
HR38AH8246,HR38AH8246,TATA TIGOR EV,Electric
HR38AH8864,HR38AH8864,Honda City,Petrol
HR38AJ0176,HR38AJ0176,Dzire,CNG
HR38AJ2391,HR38AJ2391,Dzire,CNG
HR38AJ2423,HR38AJ2423,Dzire,CNG
HR38AJ3105,HR38AJ3105,Dzire,CNG
HR38AJ3560,HR38AJ3560,Dzire,CNG
HR38AJ4221,HR38AJ4221,Dzire,CNG
HR38AJ4520,HR38AJ4520,Dzire,CNG
HR38AJ4899,HR38AJ4899,Dzire,CNG
HR38AJ4945,HR38AJ4945,Dzire,CNG
HR38AJ5141,HR38AJ5141,Dzire,CNG
HR38AJ5573,HR38AJ5573,Dzire,CNG
HR38AJ5641,HR38AJ5641,Dzire,CNG
HR38AJ5688,HR38AJ5688,Dzire,CNG
HR38AJ6320,HR38AJ6320,,
HR38AJ6645,HR38AJ6645,Dzire,CNG
HR38AJ6736,HR38AJ6736,Dzire,CNG
HR38AJ9008,HR38AJ9008,Dzire,CNG
HR38AJ9493,HR38AJ9493,Dzire,CNG/Petrol
HR38AK0002,HR38AK0002,Invicto,Petrol Hybrid
HR38AK0007,HR38AK0007,Hycross,Petrol Hybrid
HR38AK0010,HR38AK0010,Invicto,Petrol Hybrid
HR38AL0002,HR38AL0002,Ciaz,CNG
HR38AL0005,HR38AL0005,Ciaz,CNG
HR38AL0009,HR38AL0009,Ciaz,CNG
HR38AL0172,HR38AL0172,Dzire,CNG
HR38AL0309,HR38AL0309,Dzire,CNG
HR38AL0484,HR38AL0484,Mahindra Bolero B6,Diesel
HR38AL1197,HR38AL1197,Bolero B6,Diesel
HR38AL1416,HR38AL1416,Bolero Camper,CNG
HR38AL1600,HR38AL1600,Bolero Camper,CNG
HR38AL2113,HR38AL2113,Dzire,CNG
HR38AL2456,HR38AL2456,Ciaz,CNG
HR38AL3105,HR38AL3105,Ciaz,CNG
HR38AL3199,HR38AL3199,Dzire,CNG
HR38AL3670,HR38AL3670,Dzire,CNG
HR38AL3718,HR38AL3718,Dzire,CNG
HR38AL3812,HR38AL3812,Dzire,CNG
HR38AL3882,HR38AL3882,Dzire,CNG
HR38AL3912,HR38AL3912,Ciaz,CNG
HR38AL4027,HR38AL4027,Ciaz,CNG
HR38AL4163,HR38AL4163,Ciaz,CNG
HR38AL4311,HR38AL4311,Bolero Camper,CNG
HR38AL4435,HR38AL4435,Dzire,CNG
HR38AL4581,HR38AL4581,Dzire,CNG
HR38AL4593,HR38AL4593,Dzire,CNG
HR38AL4977,HR38AL4977,Dzire,CNG
HR38AL5180,HR38AL5180,Dzire,CNG
HR38AL6472,HR38AL6472,Dzire,CNG
HR38AL6552,HR38AL6552,Bolero Camper,CNG
HR38AL7204,HR38AL7204,Dzire,CNG
HR38AL7426,HR38AL7426,Bolero Camper,CNG
HR38AL7438,HR38AL7438,Ciaz,CNG
HR38AL7692,HR38AL7692,Bolero B6,Diesel
HR38AL7899,HR38AL7899,Dzire,CNG
HR38AL8312,HR38AL8312,Dzire,CNG
HR38AL8347,HR38AL8347,Bolero B6,Diesel
HR38AL8350,HR38AL8350,Dzire,CNG
HR38AL8569,HR38AL8569,Mahindra Bolero B6,Diesel
HR38AL8724,HR38AL8724,Dzire,CNG
HR38AL9317,HR38AL9317,Dzire,CNG
HR38AL9766,HR38AL9766,Dzire,CNG
HR38AL9780,HR38AL9780,Ciaz,CNG
HR38AM0696,HR38AM0696,Dzire,CNG/Petrol
HR38AM2244,HR38AM2244,Dzire,CNG/Petrol
HR38AM5215,HR38AM5215,Dzire,CNG/Petrol
HR38AM5473,HR38AM5473,Mahindra Bolero B6,Diesel
HR38AM7526,HR38AM7526,Mahindra Bolero,Diesel
HR38AM9886,HR38AM9886,,
HR47G1454,HR47G1454,Ciaz,CNG
HR47G1489,HR47G1489,Ciaz,CNG
HR47G3652,HR47G3652,Ciaz,CNG
HR47G4829,HR47G4829,Ciaz,CNG
HR47G6634,HR47G6634,Ciaz,CNG
HR47G7249,HR47G7249,Ciaz,CNG
HR47G9290,HR47G9290,Ciaz,CNG
HR47G9640,HR47G9640,Ciaz,CNG
HR47H0365,HR47H0365,Verna,CNG/Petrol
HR47H0447,HR47H0447,Verna,CNG/Petrol
HR47H0785,HR47H0785,Verna,CNG/Petrol
HR47H0873,HR47H0873,Verna,CNG/Petrol
HR47H1209,HR47H1209,Verna,CNG/Petrol
HR47H5544,HR47H2597,Verna,CNG/Petrol
HR47H2597,HR47H2597,Verna,CNG/Petrol
HR47H2870,HR47H2870,Verna,CNG
HR47H2947,HR47H2947,Verna,CNG/Petrol
HR47H3425,HR47H3425,Verna,CNG/Petrol
HR47H3721,HR47H3721,Verna,CNG/Petrol
HR47H9474,HR47H9474,Verna,CNG/Petrol
HR51CA3194,HR51CA3194,Ciaz,CNG
HR51CA4014,HR51CA4014,Ciaz,CNG
HR51CA4516,HR51CA4516,Maruti Ciaz,CNG
HR51CA7081,HR51CA7081,Ciaz,CNG
HR51CA8960,HR51CA8960,Ciaz,CNG
HR51CC1099,HR51CC1099,Ciaz,CNG
HR51CC2569,HR51CC2569,Ciaz,CNG
HR51CC4950,HR51CC4950,Ciaz,CNG
HR51CC5914,HR51CC5914,Ciaz,CNG
HR51CC7911,HR51CC7911,Ciaz,CNG
HR51CD2504,HR51CD2504,Ciaz,CNG
HR51CD2931,HR51CD2931,Maruti Ciaz,CNG
HR51CD5559,HR51CD5559,Ciaz,CNG
HR51CD6202,HR51CD6202,Ciaz,CNG
HR51CD6601,HR51CD6601,Ciaz,CNG
HR51CD6963,HR51CD6963,Ciaz,CNG
HR51CE0380,HR51CE0380,Ciaz,CNG
HR51CE0690,HR51CE0690,Ciaz,CNG
HR51CE1618,HR51CE1618,Ciaz,CNG
HR51CE2641,HR51CE2641,Ciaz,CNG
HR51CE3209,HR51CE3209,Ciaz,CNG
HR51CE5862,HR51CE5862,Ciaz,CNG
HR51CE5978,HR51CE5978,Ciaz,CNG
HR51CE6393,HR51CE6393,Ciaz,CNG
HR51CE7194,HR51CE7194,Ciaz,CNG
HR51CE7878,HR51CE7878,Ciaz,CNG
HR51CE8295,HR51CE8295,Ciaz,CNG
HR51CG2167,HR51CG2167,Ciaz,CNG
HR51CG2858,HR51CG2858,Ciaz,CNG
HR51CG4502,HR51CG4502,Ciaz,CNG
HR51CG5998,HR51CG5998,Ciaz,CNG
HR51CG7088,HR51CG7088,Ciaz,CNG
HR51CG8834,HR51CG8834,Ciaz,CNG
HR51CL7197,HR51CL7197,Toyota Rumion,CNG
HR51CM0386,HR51CM0386,Ciaz,CNG
HR51CM0386 (1),HR51CM0386 (1),Ciaz,CNG
HR51CN4416,HR51CN4416,Innova,Diesel
HR51CN5473,HR51CN5473,Innova,Diesel
HR51CP1862,HR51CP1862,Ciaz,Petrol
HR51CP2943,HR51CP2943,Ciaz,CNG
HR51CP3263,HR51CP3263,Innova,Diesel
HR51CP5076,HR51CP5076,Ciaz,CNG
HR51CP7644,HR51CP7644,Ciaz,CNG
HR51CS9447,HR51CS9447,Ciaz,CNG
HR51CT3710,HR51CT3710,Ciaz,CNG
HR51CT4107,HR51CT4107,Ciaz,CNG
HR51CT6752,HR51CT6752,Ciaz,CNG
HR51CT7847,HR51CT7847,Ciaz,CNG
HR51CT7896,HR51CT7896,Ciaz,CNG
HR51CW1053,HR51CW1053,Ciaz,CNG
HR51CW1943,HR51CW1943,Ciaz,CNG
HR51CW2638,HR51CW2638,Ciaz,CNG/Petrol
HR51CW3048,HR51CW3048,Ciaz,CNG/Petrol
HR51CW3471,HR51CW3471,Ciaz,CNG/Petrol
HR51CW3982,HR51CW3982,Ciaz,CNG/Petrol
HR51CW4167,HR51CW4167,Toyota Rumion,CNG
HR51CW4605,HR51CW4605,Ciaz,CNG
HR51CW5368,HR51CW5368,Ciaz,CNG
HR51CW7199,HR51CW7199,Ciaz,CNG
HR51CW7733,HR51CW7733,Ciaz,CNG
HR51CW8420,HR51CW8420,Ciaz,CNG
HR51CW9395,HR51CW9395,Ciaz,CNG/Petrol
HR51CX0669,HR51CX0669,Toyota Rumion,CNG
HR51CX1658,HR51CX1658,Toyota Rumion,CNG
HR51CX1827,HR51CX1827,Hyryder,CNG
HR51CX2243,HR51CX2243,Hyryder,CNG
HR51CX3142,HR51CX3142,Hyryder,CNG
HR51CX3506,HR51CX3506,Toyota Rumion,CNG
HR51CX4050,HR51CX4050,Ciaz,CNG
HR51CX4661,HR51CX4661,Ciaz,CNG
HR51CX5879,HR51CX5879,Toyota Rumion,CNG
HR51CX6709,HR51CX6709,Ciaz,CNG
HR51CX6737,HR51CX6737,Hyryder,CNG
HR51CX6753,HR51CX6753,Hyryder,CNG
HR51CX8395,HR51CX8395,Ciaz,CNG
HR51CX8406,HR51CX8406,,CNG
HR51CX8506,HR51CX8506,Toyota Rumion,CNG
HR51CXY673,HR51CXY673,,CNG
HR51CY3717,HR51CY3717,TOYOTA RUMION,CNG
HR51CY4080,HR51CY4080,TOYOTA RUMION,CNG
HR55AU3742,HR55AU3742,Ashok Leyland 12M Coach,CNG/Petrol
HR55AU7075,HR55AU7075,Ashok Leyland 12M Coach,CNG/Petrol
HR55AU9369,HR55AU9369,Ashok Leyland 12M Coach,CNG/Petrol
HR55AU9408,HR55AU9408,Ashok Leyland 12M Coach,CNG/Petrol
HR55AV0009,HR55AV0009,Fortuner,Diesel
HR58E1291,HR58E1291,Ciaz,CNG
HR58E5197,HR58E5197,Ciaz,CNG
HR58E5731,HR58E5731,Ciaz,CNG
HR58E9741,HR58E9741,Ciaz,CNG
HR58E9780,HR58E9780,Ciaz,CNG
HR5CX5879,HR5CX5879,TOYOTA RUMION,CNG
HR67E0950,HR67E0950,Ciaz,CNG
HR67E1028,HR67E1028,Ertiga,CNG
HR67E2577,HR67E2577,Ertiga,CNG
HR67E4073,HR67E4073,Ertiga,CNG
HR67E4936,HR67E4936,Ciaz,CNG
HR67E6599,HR67E6599,Ciaz,CNG
HR67E7614,HR67E7614,Ertiga,CNG
HR67E7871,HR67E7871,Ciaz,CNG
HR67E8117,HR67E8117,Ciaz,Petrol
HR67E9462,HR67E9462,Ertiga,CNG
HR73B2454,HR73B2454,Ciaz,CNG
HR73B3063,HR73B3063,Ciaz,CNG
HR73B6027,HR73B6027,Ciaz,CNG
HR73B7841,HR73B7841,Ciaz,CNG
HR73B8341,HR73B8341,Ciaz,CNG
HR73B8937,HR73B8937,Ciaz,CNG
HR73B9497,HR73B9497,Ciaz,CNG
HR73C2397,HR73C2397,Dzire,CNG
HR73C2436,HR73C2436,Dzire,CNG
HR73C3800,HR73C3800,Dzire,CNG
HR73C4163,HR73C4163,Dzire,CNG
HR73C4255,HR73C4255,Dzire,CNG
HR73C4561,HR73C4561,Dzire,CNG
HR73C7754,HR73C7754,Dzire,CNG
HR73C9318,HR73C9318,Dzire,CNG
IGL-0000,IGL-0000,,CNG
IGL-3626,IGL-3626,,CNG
PB01G4163,PB01G4163,Innova,Petrol
PB01G4168,PB01G4168,Invicto,Petrol Hybrid
PB01N1431,PB01N1431,Dzire,CNG
PB01N1432,PB01N1432,Dzire,CNG
PB01N1433,PB01N1433,Dzire,CNG
PB01N1434,PB01N1434,Dzire,CNG
PB01N1435,PB01N1435,Dzire,CNG
T0126H56133,T0126H56133,,
UP161FP6503,UP161FP6503,TOYOTA RUMION,CNG
UP16EC6124,UP16EC6124,GRAND VITARA,Petrol
UP16EE1348,UP16EE1348,KIA CARENS,Diesel
UP16EH5209,UP16EH5209,Ciaz,CNG/Petrol
UP16EH5210,UP16EH5210,Ciaz,CNG/Petrol
UP16EM0508,UP16EM0508,Innova,Diesel
UP16EW0020,UP16EW0020,Innova,Petrol
UP16EX5858,UP16EX5858,Hycross,Petrol Hybrid
UP16FA0975,UP16FA0975,Ciaz,Petrol
UP16FC2226,UP16FC2226,Innova,Diesel
UP16FC4668,UP16FC4668,Ciaz,CNG
UP16FX2851,UP16FX2851,Mahindra Bolero B6,Diesel
UP16FX3531,UP16FX3531,Mahindra Bolero B6,Diesel
UP16FX3532,UP16FX3532,Mahindra Bolero B6,Diesel
UP16FX3533,UP16FX3533,Mahindra Bolero B6,Diesel
UP16FX3534,UP16FX3534,Mahindra Bolero B6,Diesel
UP16FX3537,UP16FX3537,Mahindra Bolero B6,Diesel
UP16FX3919,UP16FX3919,Mahindra Bolero,Diesel
